radius_um,time_s,time_label,cu_surface_wt_pct,cu_farfield_wt_pct,depletion_depth_um,cu_captured_mg,cu_removed_shell_pct
25,60,1 min,0.010000000000000024,0.29999999999999627,254.23728813559322,0.0021563053207422312,0.019319425411154334
25,300,5 min,0.010000000000000024,0.2999952793851657,254.23728813559322,0.00974094107843491,0.0872739972345359
25,600,10 min,0.010000000000000024,0.2999088678936167,338.98305084745766,0.01901934285589653,0.170403871909561
25,1800,30 min,0.010000000000000024,0.2990287140307848,338.98305084745766,0.05575175408298139,0.4995080447032555
50,60,1 min,0.010000000000000024,0.29999999999999627,254.23728813559322,0.0024228319290967703,0.02138659629215477
50,300,5 min,0.010000000000000024,0.2999952793851657,254.23728813559322,0.010274416028413896,0.09069336799571116
50,600,10 min,0.010000000000000024,0.2999088678936167,338.98305084745766,0.019751631976455936,0.17434976570956617
50,1800,30 min,0.010000000000000024,0.2990287140307848,338.98305084745766,0.05706725900774682,0.5037387922956365
100,60,1 min,0.010000000000000024,0.29999999999999627,254.23728813559322,0.0030535399413191243,0.026169079510498877
100,300,5 min,0.010000000000000024,0.2999952793851657,254.23728813559322,0.011459966258224142,0.09821281986229626
100,600,10 min,0.010000000000000024,0.2999088678936167,338.98305084745766,0.021344164703266773,0.1829211845723151
100,1800,30 min,0.010000000000000024,0.2990287140307848,338.98305084745766,0.059844957104243264,0.512876029414827
250,60,1 min,0.010000000000000024,0.29999999999999627,254.23728813559322,0.00572690234209241,0.044996720338096124
250,300,5 min,0.010000000000000024,0.2999952793851657,254.23728813559322,0.015965419586472997,0.12544155239609212
250,600,10 min,0.010000000000000024,0.2999088678936167,338.98305084745766,0.027145398769235607,0.21328352465656272
250,1800,30 min,0.010000000000000024,0.2990287140307848,338.98305084745766,0.06935155736945724,0.5449006191407728
500,60,1 min,0.010000000000000024,0.29999999999999627,254.23728813559322,0.012786634223735275,0.08743527571280213
500,300,5 min,0.010000000000000024,0.2999952793851657,254.23728813559322,0.02663718392961479,0.1821456280320598
500,600,10 min,0.010000000000000024,0.2999088678936167,338.98305084745766,0.04022624183097124,0.27506789385216107
500,1800,30 min,0.010000000000000024,0.2990287140307848,338.98305084745766,0.08910757773056281,0.6093195043078139
