radius_um,time_s,time_label,distance_from_surface_um,radial_position_um,cu_wt_pct
25,60,1 min,0.0,25.0,0.010000000000000024
25,60,1 min,84.74576271186442,109.74576271186442,0.21803111433437722
25,60,1 min,169.49152542372883,194.49152542372883,0.25964437219926145
25,60,1 min,254.23728813559322,279.2372881355932,0.27558463257107546
25,60,1 min,338.98305084745766,363.98305084745766,0.2837845366261135
25,60,1 min,423.7288135593221,448.7288135593221,0.28868857637709655
25,60,1 min,508.47457627118644,533.4745762711864,0.29188786053688015
25,60,1 min,593.220338983051,618.220338983051,0.294090375384785
25,60,1 min,677.9661016949153,702.9661016949153,0.29565905652782054
25,60,1 min,762.7118644067797,787.7118644067797,0.296800687464227
25,60,1 min,847.4576271186442,872.4576271186442,0.2976423242814962
25,60,1 min,932.2033898305085,957.2033898305085,0.2982671661507043
25,60,1 min,1016.9491525423729,1041.9491525423728,0.29873222621905554
25,60,1 min,1101.6949152542372,1126.6949152542372,0.2990781065611297
25,60,1 min,1186.440677966102,1211.440677966102,0.29933449545796514
25,60,1 min,1271.1864406779662,1296.1864406779662,0.29952354451813146
25,60,1 min,1355.9322033898306,1380.9322033898306,0.2996619835081822
25,60,1 min,1440.677966101695,1465.677966101695,0.29976253512867546
25,60,1 min,1525.4237288135594,1550.4237288135594,0.2998348987853543
25,60,1 min,1610.1694915254238,1635.1694915254238,0.299886454194409
25,60,1 min,1694.9152542372883,1719.9152542372883,0.29992278997073196
25,60,1 min,1779.6610169491528,1804.6610169491528,0.2999481086522028
25,60,1 min,1864.406779661017,1889.406779661017,0.2999655416719235
25,60,1 min,1949.1525423728815,1974.1525423728815,0.2999773978026502
25,60,1 min,2033.8983050847457,2058.8983050847455,0.2999853593173977
25,60,1 min,2118.64406779661,2143.64406779661,0.29999063646283425
25,60,1 min,2203.3898305084745,2228.3898305084745,0.2999940882494356
25,60,1 min,2288.135593220339,2313.135593220339,0.29999631587363174
25,60,1 min,2372.881355932204,2397.881355932204,0.29999773402817814
25,60,1 min,2457.627118644068,2482.627118644068,0.29999862453464027
25,60,1 min,2542.3728813559323,2567.3728813559323,0.2999991760372128
25,60,1 min,2627.118644067797,2652.118644067797,0.29999951288698246
25,60,1 min,2711.8644067796613,2736.8644067796613,0.29999971579546886
25,60,1 min,2796.6101694915255,2821.6101694915255,0.29999983634115046
25,60,1 min,2881.35593220339,2906.35593220339,0.2999999069757691
25,60,1 min,2966.1016949152545,2991.1016949152545,0.2999999478020014
25,60,1 min,3050.8474576271187,3075.8474576271187,0.2999999710813912
25,60,1 min,3135.593220338983,3160.593220338983,0.29999998417870344
25,60,1 min,3220.3389830508477,3245.3389830508477,0.29999999145065065
25,60,1 min,3305.0847457627124,3330.0847457627124,0.2999999954360133
25,60,1 min,3389.8305084745766,3414.8305084745766,0.2999999975924366
25,60,1 min,3474.576271186441,3499.576271186441,0.29999999874471733
25,60,1 min,3559.3220338983056,3584.3220338983056,0.2999999993529324
25,60,1 min,3644.06779661017,3669.06779661017,0.29999999967014723
25,60,1 min,3728.813559322034,3753.813559322034,0.29999999983366843
25,60,1 min,3813.5593220338983,3838.5593220338983,0.2999999999170078
25,60,1 min,3898.305084745763,3923.305084745763,0.2999999999590143
25,60,1 min,3983.0508474576277,4008.0508474576277,0.2999999999799605
25,60,1 min,4067.7966101694915,4092.7966101694915,0.2999999999902966
25,60,1 min,4152.542372881357,4177.542372881357,0.2999999999953455
25,60,1 min,4237.28813559322,4262.28813559322,0.2999999999977877
25,60,1 min,4322.033898305085,4347.033898305085,0.2999999999989577
25,60,1 min,4406.779661016949,4431.779661016949,0.29999999999951327
