temp_K,phase,radius_um,time_s,time_label,cu_surface_wt_pct,cu_farfield_wt_pct,depletion_depth_um,cu_captured_mg,cu_removed_shell_pct
1673,FCC_A1,25,60,1 min,0.009999999999999992,0.3000000000000007,84.74576271186442,4.914588358478896e-05,0.00044032272380368804
1673,FCC_A1,25,300,5 min,0.009999999999999992,0.30000000000000004,84.74576271186442,4.947205434869294e-05,0.00044324505195635116
1673,FCC_A1,25,600,10 min,0.009999999999999992,0.30000000000000016,84.74576271186442,4.9877932916492224e-05,0.00044688152246966664
1673,FCC_A1,25,1800,30 min,0.009999999999999992,0.3000000000000004,84.74576271186442,5.148178853953588e-05,0.000461251272792866
1673,FCC_A1,50,60,1 min,0.009999999999999992,0.3000000000000007,84.74576271186442,9.235622587649583e-05,0.0008152382730997036
1673,FCC_A1,50,300,5 min,0.009999999999999992,0.30000000000000004,84.74576271186442,9.285043801803571e-05,0.0008196007364744266
1673,FCC_A1,50,600,10 min,0.009999999999999992,0.30000000000000016,84.74576271186442,9.346459105643153e-05,0.0008250219309601161
1673,FCC_A1,50,1800,30 min,0.009999999999999992,0.3000000000000004,84.74576271186442,9.588251996383734e-05,0.0008463652477559687
1673,FCC_A1,100,60,1 min,0.009999999999999992,0.3000000000000007,84.74576271186442,0.0002193399057944745,0.00187976039117448
1673,FCC_A1,100,300,5 min,0.009999999999999992,0.30000000000000004,84.74576271186442,0.0002202833575871564,0.001887845847874401
1673,FCC_A1,100,600,10 min,0.009999999999999992,0.30000000000000016,84.74576271186442,0.00022145396297920978,0.0018978780289392507
1673,FCC_A1,100,1800,30 min,0.009999999999999992,0.3000000000000004,84.74576271186442,0.00022604317200466698,0.001937207914313407
1673,FCC_A1,250,60,1 min,0.009999999999999992,0.3000000000000007,84.74576271186442,0.0009247949082249305,0.007266186040862124
1673,FCC_A1,250,300,5 min,0.009999999999999992,0.30000000000000004,84.74576271186442,0.0009279913341379977,0.007291300609663933
1673,FCC_A1,250,600,10 min,0.009999999999999992,0.30000000000000016,84.74576271186442,0.0009319505238907405,0.007322408273707762
1673,FCC_A1,250,1800,30 min,0.009999999999999992,0.3000000000000004,84.74576271186442,0.0009473986416649677,0.00744378534524045
1673,FCC_A1,500,60,1 min,0.009999999999999992,0.3000000000000007,84.74576271186442,0.003182233121197424,0.0217601774998634
1673,FCC_A1,500,300,5 min,0.009999999999999992,0.30000000000000004,84.74576271186442,0.0031922020212009987,0.021828345049283708
1673,FCC_A1,500,600,10 min,0.009999999999999992,0.30000000000000016,84.74576271186442,0.0032045396092206125,0.021912709737539473
1673,FCC_A1,500,1800,30 min,0.009999999999999992,0.3000000000000004,84.74576271186442,0.0032525694695581774,0.022241138940063073
1698,FCC_A1,25,60,1 min,0.010000000000000009,0.3000000000000004,84.74576271186442,4.9173734229594555e-05,0.0004405722517577299
1698,FCC_A1,25,300,5 min,0.010000000000000024,0.2999999999999995,84.74576271186442,4.961065230273439e-05,0.0004444868208327182
1698,FCC_A1,25,600,10 min,0.010000000000000024,0.3000000000000001,84.74576271186442,5.0153523397615686e-05,0.0004493506763936834
1698,FCC_A1,25,1800,30 min,0.010000000000000024,0.29999999999999977,84.74576271186442,5.229032671934645e-05,0.00046849537357333625
1698,FCC_A1,50,60,1 min,0.010000000000000009,0.3000000000000004,84.74576271186442,9.239844834707844e-05,0.0008156109753585614
1698,FCC_A1,50,300,5 min,0.010000000000000024,0.2999999999999995,84.74576271186442,9.306026030667124e-05,0.0008214528602335094
1698,FCC_A1,50,600,10 min,0.010000000000000024,0.3000000000000001,84.74576271186442,9.388107568105773e-05,0.0008286982852386774
1698,FCC_A1,50,1800,30 min,0.010000000000000024,0.29999999999999977,84.74576271186442,9.70961088960094e-05,0.0008570777269194189
1698,FCC_A1,100,60,1 min,0.010000000000000009,0.3000000000000004,84.74576271186442,0.00021942055944312668,0.001880451599341051
1698,FCC_A1,100,300,5 min,0.010000000000000024,0.2999999999999995,84.74576271186442,0.00022068351494440802,0.0018912752281673947
1698,FCC_A1,100,600,10 min,0.010000000000000024,0.3000000000000001,84.74576271186442,0.0002222466603178727,0.00190467150801006
1698,FCC_A1,100,1800,30 min,0.010000000000000024,0.29999999999999977,84.74576271186442,0.00022833489018546127,0.0019568481209068576
1698,FCC_A1,250,60,1 min,0.010000000000000009,0.3000000000000004,84.74576271186442,0.0009250683556199135,0.007268334538465932
1698,FCC_A1,250,300,5 min,0.010000000000000024,0.2999999999999995,84.74576271186442,0.0009293455878965224,0.007301941087534713
1698,FCC_A1,250,600,10 min,0.010000000000000024,0.3000000000000001,84.74576271186442,0.0009346272547877669,0.007343439558056471
1698,FCC_A1,250,1800,30 min,0.010000000000000024,0.29999999999999977,84.74576271186442,0.0009550689695428237,0.007504051712257858
1698,FCC_A1,500,60,1 min,0.010000000000000009,0.3000000000000004,84.74576271186442,0.0031830862255433677,0.021766011045454385
1698,FCC_A1,500,300,5 min,0.010000000000000024,0.2999999999999995,84.74576271186442,0.0031964234062797263,0.02185721096988409
1698,FCC_A1,500,600,10 min,0.010000000000000024,0.3000000000000001,84.74576271186442,0.003212874380769088,0.02196970308196403
1698,FCC_A1,500,1800,30 min,0.010000000000000024,0.29999999999999977,84.74576271186442,0.003276351553435117,0.022403761333448294
1723,FCC_A1,25,60,1 min,0.010000000000000005,0.2999999999999993,84.74576271186442,4.9209820193585415e-05,0.00044089556408414524
1723,FCC_A1,25,300,5 min,0.010000000000000005,0.29999999999999927,84.74576271186442,4.978995374324424e-05,0.00044609327274503375
1723,FCC_A1,25,600,10 min,0.010000000000000005,0.29999999999999954,84.74576271186442,5.050938030891684e-05,0.0004525389776925736
1723,FCC_A1,25,1800,30 min,0.010000000000000005,0.2999999999999999,84.74576271186442,5.3327259146451564e-05,0.00047778577344814103
1723,FCC_A1,50,60,1 min,0.010000000000000005,0.2999999999999993,84.74576271186442,9.245314933276419e-05,0.0008160938268034325
1723,FCC_A1,50,300,5 min,0.010000000000000005,0.29999999999999927,84.74576271186442,9.333154391852078e-05,0.0008238475096590956
1723,FCC_A1,50,600,10 min,0.010000000000000005,0.29999999999999954,84.74576271186442,9.441823870596156e-05,0.000833439880649703
1723,FCC_A1,50,1800,30 min,0.010000000000000005,0.2999999999999999,84.74576271186442,9.864735318414035e-05,0.0008707707259848289
1723,FCC_A1,100,60,1 min,0.010000000000000005,0.2999999999999993,84.74576271186442,0.00021952503548171537,0.0018813469672790217
1723,FCC_A1,100,300,5 min,0.010000000000000005,0.29999999999999927,84.74576271186442,0.00022120053911432513,0.00189570616631506
1723,FCC_A1,100,600,10 min,0.010000000000000005,0.29999999999999954,84.74576271186442,0.000223267683740578,0.0019134217597324308
