temp_K,radius_um,time_s,time_label,distance_from_surface_um,radial_position_um,cu_wt_pct
1673,25,60,1 min,0.0,25.0,0.009999999999999992
1673,25,60,1 min,84.74576271186442,109.74576271186442,0.299882525965555
1673,25,60,1 min,169.49152542372883,194.49152542372883,0.30001855801890487
1673,25,60,1 min,254.23728813559322,279.2372881355932,0.29999650683703083
1673,25,60,1 min,338.98305084745766,363.98305084745766,0.30000071895319197
1673,25,60,1 min,423.7288135593221,448.7288135593221,0.2999998439143749
1673,25,60,1 min,508.47457627118644,533.4745762711864,0.30000003510548895
1673,25,60,1 min,593.220338983051,618.220338983051,0.29999999190377197
1673,25,60,1 min,677.9661016949153,702.9661016949153,0.30000000190247367
1673,25,60,1 min,762.7118644067797,787.7118644067797,0.29999999954642725
1673,25,60,1 min,847.4576271186442,872.4576271186442,0.30000000010939437
1673,25,60,1 min,932.2033898305085,957.2033898305085,0.29999999997336757
1673,25,60,1 min,1016.9491525423729,1041.9491525423728,0.30000000000653554
1673,25,60,1 min,1101.6949152542372,1126.6949152542372,0.29999999999838667
1673,25,60,1 min,1186.440677966102,1211.440677966102,0.3000000000004016
1673,25,60,1 min,1271.1864406779662,1296.1864406779662,0.29999999999990007
1673,25,60,1 min,1355.9322033898306,1380.9322033898306,0.30000000000002575
1673,25,60,1 min,1440.677966101695,1465.677966101695,0.2999999999999944
1673,25,60,1 min,1525.4237288135594,1550.4237288135594,0.30000000000000243
1673,25,60,1 min,1610.1694915254238,1635.1694915254238,0.30000000000000043
1673,25,60,1 min,1694.9152542372883,1719.9152542372883,0.3000000000000003
1673,25,60,1 min,1779.6610169491528,1804.6610169491528,0.30000000000000104
1673,25,60,1 min,1864.406779661017,1889.406779661017,0.3000000000000009
1673,25,60,1 min,1949.1525423728815,1974.1525423728815,0.30000000000000077
1673,25,60,1 min,2033.8983050847457,2058.8983050847455,0.3000000000000003
1673,25,60,1 min,2118.64406779661,2143.64406779661,0.30000000000000016
1673,25,60,1 min,2203.3898305084745,2228.3898305084745,0.30000000000000077
1673,25,60,1 min,2288.135593220339,2313.135593220339,0.3000000000000003
1673,25,60,1 min,2372.881355932204,2397.881355932204,0.3000000000000014
1673,25,60,1 min,2457.627118644068,2482.627118644068,0.30000000000000054
1673,25,60,1 min,2542.3728813559323,2567.3728813559323,0.3000000000000008
1673,25,60,1 min,2627.118644067797,2652.118644067797,0.30000000000000104
1673,25,60,1 min,2711.8644067796613,2736.8644067796613,0.3000000000000004
1673,25,60,1 min,2796.6101694915255,2821.6101694915255,0.30000000000000043
1673,25,60,1 min,2881.35593220339,2906.35593220339,0.30000000000000115
1673,25,60,1 min,2966.1016949152545,2991.1016949152545,0.3000000000000004
1673,25,60,1 min,3050.8474576271187,3075.8474576271187,0.300000000000001
1673,25,60,1 min,3135.593220338983,3160.593220338983,0.30000000000000077
1673,25,60,1 min,3220.3389830508477,3245.3389830508477,0.3000000000000005
1673,25,60,1 min,3305.0847457627124,3330.0847457627124,0.30000000000000093
1673,25,60,1 min,3389.8305084745766,3414.8305084745766,0.3
1673,25,60,1 min,3474.576271186441,3499.576271186441,0.30000000000000104
1673,25,60,1 min,3559.3220338983056,3584.3220338983056,0.30000000000000016
1673,25,60,1 min,3644.06779661017,3669.06779661017,0.30000000000000165
1673,25,60,1 min,3728.813559322034,3753.813559322034,0.30000000000000016
1673,25,60,1 min,3813.5593220338983,3838.5593220338983,0.3000000000000007
1673,25,60,1 min,3898.305084745763,3923.305084745763,0.3000000000000009
1673,25,60,1 min,3983.0508474576277,4008.0508474576277,0.3000000000000001
1673,25,60,1 min,4067.7966101694915,4092.7966101694915,0.30000000000000054
1673,25,60,1 min,4152.542372881357,4177.542372881357,0.3000000000000009
1673,25,60,1 min,4237.28813559322,4262.28813559322,0.300000000000001
1673,25,60,1 min,4322.033898305085,4347.033898305085,0.30000000000000016
1673,25,60,1 min,4406.779661016949,4431.779661016949,0.3000000000000007
1673,25,60,1 min,4491.525423728814,4516.525423728814,0.3000000000000004
1673,25,60,1 min,4576.271186440678,4601.271186440678,0.3000000000000007
1673,25,60,1 min,4661.016949152543,4686.016949152543,0.30000000000000077
1673,25,60,1 min,4745.762711864408,4770.762711864408,0.3000000000000004
1673,25,60,1 min,4830.5084745762715,4855.5084745762715,0.30000000000000016
1673,25,60,1 min,4915.254237288136,4940.254237288136,0.3000000000000008
1673,25,60,1 min,5000.0,5025.0,0.3000000000000007
1673,25,300,5 min,0.0,25.0,0.009999999999999992
1673,25,300,5 min,84.74576271186442,109.74576271186442,0.29941651470759406
1673,25,300,5 min,169.49152542372883,194.49152542372883,0.3000909466766353
1673,25,300,5 min,254.23728813559322,279.2372881355932,0.2999831076134296
1673,25,300,5 min,338.98305084745766,363.98305084745766,0.3000034307231816
1673,25,300,5 min,423.7288135593221,448.7288135593221,0.2999992650818873
1673,25,300,5 min,508.47457627118644,533.4745762711864,0.30000016308430366
1673,25,300,5 min,593.220338983051,618.220338983051,0.2999999628937672
1673,25,300,5 min,677.9661016949153,702.9661016949153,0.3000000086014737
1673,25,300,5 min,762.7118644067797,787.7118644067797,0.2999999979771974
1673,25,300,5 min,847.4576271186442,872.4576271186442,0.3000000004811829
1673,25,300,5 min,932.2033898305085,957.2033898305085,0.29999999988446546
1673,25,300,5 min,1016.9491525423729,1041.9491525423728,0.30000000002795596
1673,25,300,5 min,1101.6949152542372,1126.6949152542372,0.29999999999319205
1673,25,300,5 min,1186.440677966102,1211.440677966102,0.3000000000016679
1673,25,300,5 min,1271.1864406779662,1296.1864406779662,0.29999999999959037
1673,25,300,5 min,1355.9322033898306,1380.9322033898306,0.30000000000010196
1673,25,300,5 min,1440.677966101695,1465.677966101695,0.29999999999997473
1673,25,300,5 min,1525.4237288135594,1550.4237288135594,0.30000000000000693
1673,25,300,5 min,1610.1694915254238,1635.1694915254238,0.2999999999999991
1673,25,300,5 min,1694.9152542372883,1719.9152542372883,0.3000000000000011
1673,25,300,5 min,1779.6610169491528,1804.6610169491528,0.2999999999999998
