T_K,T_C,GM_Cu2O,GM_system_Cu2O,G_metal_Cu2O,dG_Cu2O_per_O2,phases_Cu2O,oxide_phase_Cu2O,GM_CuO,GM_system_CuO,G_metal_CuO,dG_CuO_per_O2,phases_CuO,oxide_phase_CuO,GM_Al2O3,GM_system_Al2O3,G_metal_Al2O3,dG_Al2O3_per_O2,phases_Al2O3,oxide_phase_Al2O3,GM_MgO,GM_system_MgO,G_metal_MgO,dG_MgO_per_O2,phases_MgO,oxide_phase_MgO,GM_SiO2,GM_system_SiO2,G_metal_SiO2,dG_SiO2_per_O2,phases_SiO2,oxide_phase_SiO2,GM_TiO2,GM_system_TiO2,G_metal_TiO2,dG_TiO2_per_O2,phases_TiO2,oxide_phase_TiO2,GM_FeO,GM_system_FeO,G_metal_FeO,dG_FeO_per_O2,phases_FeO,oxide_phase_FeO,GM_CaO,GM_system_CaO,G_metal_CaO,dG_CaO_per_O2,phases_CaO,oxide_phase_CaO,GM_ZrO2,GM_system_ZrO2,G_metal_ZrO2,dG_ZrO2_per_O2,phases_ZrO2,oxide_phase_ZrO2,GM_Cr2O3,GM_system_Cr2O3,G_metal_Cr2O3,dG_Cr2O3_per_O2,phases_Cr2O3,oxide_phase_Cr2O3,GM_MnO,GM_system_MnO,G_metal_MnO,dG_MnO_per_O2,phases_MnO,oxide_phase_MnO
1500,1226.85,-132521.8234044746,-132521.8234044746,-83478.17103307633,-114875.83674730762,IONIC_LIQ#2,NOT_FOUND,-144110.8281051108,-144110.8281051108,-83478.17103307633,-63144.5508070559,GAS#1;IONIC_LIQ#2,NOT_FOUND,-376367.14233715384,-376367.14233715384,-83002.63171842566,-797544.545952044,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-348826.518603023,-348826.518603023,-98799.90097746433,-851363.8529099287,HALITE#1,HALITE#1,-349223.4367393284,-349047.3845123626,-57024.39941296318,-644303.4912577874,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-366718.406130218,-366523.0692936114,-82269.05686710356,-671543.7419763159,GAS#1;RUTILE#1,RUTILE#1,-213390.61656815495,-210235.88643806957,-80804.99365686871,-345610.0594116478,FCC_A1#1;HALITE#1,HALITE#1,-376053.7747887706,-376053.7747887706,-103278.26133459287,-951316.156938662,HALITE#1,HALITE#1,-419510.18224520306,-419263.8432727313,-95245.7684270924,-816942.3587612822,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-279099.8188391876,-279099.8188391876,-68474.54884103517,-492690.91146201064,CORUNDUM#1,CORUNDUM#1,-267874.8588522365,-267869.4082218429,-88188.96878991727,-548779.0782818766,BCC_A2#1;HALITE#1,HALITE#1
1550,1276.85,-136844.54104610108,-136844.54104610108,-87853.73960806547,-110381.22057987843,IONIC_LIQ#2,NOT_FOUND,-148830.1912954959,-148830.1912954959,-87853.73960806547,-60342.21870138653,GAS#1;IONIC_LIQ#2,NOT_FOUND,-378712.594582787,-378712.59458278696,-87354.66831006981,-786631.3569313975,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-351433.01317634183,-351433.01317634183,-107691.30959420677,-831078.3662524878,HALITE#1,HALITE#1,-351684.5454299397,-351512.4964181422,-59968.886363687285,-635813.6826616658,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-369458.12602800364,-369265.5223167773,-86386.98708231916,-662716.3237372257,GAS#1;RUTILE#1,RUTILE#1,-217142.05975959086,-213991.89379203416,-85051.85576328373,-339193.46024732984,FCC_A1#1;HALITE#1,HALITE#1,-379070.3636899146,-379070.3636899146,-108409.23621521455,-940191.915064763,HALITE#1,HALITE#1,-422324.26346174005,-422081.5747319105,-99773.54202252746,-807928.1810982267,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-281891.4285132846,-281891.42851328454,-72037.10957681279,-484317.5483440654,CORUNDUM#1,CORUNDUM#1,-271442.1374695134,-271434.8477769425,-93070.1411684648,-540357.2002766579,HALITE#1;IONIC_LIQ#1,HALITE#1
1600,1326.85,-141205.6161114637,-141205.6161114637,-92279.92616727331,-105855.03756018868,IONIC_LIQ#2,NOT_FOUND,-153591.68743506042,-153591.68743506042,-92279.92616727331,-57547.94296619482,GAS#1;IONIC_LIQ#2,NOT_FOUND,-381100.90815397963,-381100.9081539796,-91757.96654050444,-775733.4506864258,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-354082.7521077149,-354082.7521077149,-116616.2744305276,-810839.5051303041,HALITE#1,HALITE#1,-354184.4461445492,-354016.39117562526,-62959.64540007772,-627334.7385940696,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-372239.547731069,-372049.2369548276,-90557.27437744224,-653902.4143762646,GAS#1;RUTILE#1,RUTILE#1,-220945.19508134655,-217799.66099973468,-89358.60334186218,-332804.61920216156,FCC_A1#1;HALITE#1,HALITE#1,-382131.51486318134,-382131.51486318134,-113596.67018741972,-929073.7646383856,HALITE#1,HALITE#1,-425181.6155255731,-424942.5633871662,-104350.0048038734,-798935.8873333457,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-284725.98792333005,-284725.98792333,-75667.84084171268,-475937.21751598304,CORUNDUM#1,CORUNDUM#1,-275057.27867317956,-275047.6850808604,-98187.29226191166,-531595.5757293947,HALITE#1;IONIC_LIQ#1,HALITE#1
1650,1376.85,-145604.01015390662,-145604.01015390662,-96755.14839899541,-101299.01062902296,IONIC_LIQ#2,NOT_FOUND,-158394.46010553,-158394.46010553,-96755.14839899541,-54763.08692569408,GAS#1;IONIC_LIQ#2,NOT_FOUND,-383530.90571728017,-383530.90571728017,-96210.9252815124,-764850.6619838155,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-356774.5528667629,-356774.5528667629,-125573.74427791477,-790646.266212787,HALITE#1,HALITE#1,-356722.21467872383,-356558.1446923978,-65995.55899225848,-618866.6283454779,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-375061.60479923576,-374873.01282332523,-94779.17957534251,-645101.1781239298,GAS#1;RUTILE#1,RUTILE#1,-221712.45293041973,-221712.45293041973,-93724.05290605224,-314097.24921113934,FCC_A1#1;IONIC_LIQ#2,NOT_FOUND,-385235.94935650757,-385235.94935650757,-118838.7983548066,-917961.7440179819,HALITE#1,HALITE#1,-428081.10016417794,-427845.6712923626,-108974.23558972224,-789964.6082043767,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-287602.3224132778,-287602.3224132778,-79366.42997959205,-467548.0447063682,BCC_A2#1;CORUNDUM#1,CORUNDUM#1,-278719.1792111948,-278706.7746819984,-103379.44978218224,-522813.3605819797,HALITE#1;IONIC_LIQ#1,HALITE#1
1700,1426.85,-150038.76408062803,-150038.76408062803,-101277.91993393125,-96714.84330904915,IONIC_LIQ#2,NOT_FOUND,-163237.72683033094,-163237.72683033094,-101277.91993393125,-51989.006014467275,GAS#1;IONIC_LIQ#2,NOT_FOUND,-386001.46982118615,-386001.46982118615,-100712.00123626557,-753982.8363166056,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-359507.30071825354,-359507.30071825354,-134562.73197304358,-770497.6774879331,HALITE#1,HALITE#1,-359297.0117589324,-359136.91777790495,-69462.56663600882,-610022.4072017944,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-377923.3422324532,-377735.7353714761,-99052.06070611926,-636311.9045522462,GAS#1;RUTILE#1,RUTILE#1,-226127.7436809272,-226127.7436809272,-98164.87972383945,-309775.15383703593,BCC_A2#1;IONIC_LIQ#2,NOT_FOUND,-388382.4641361911,-388382.4641361911,-124133.96283562844,-906855.8694345136,HALITE#1,HALITE#1,-431021.6466553635,-430789.8280394276,-113645.40255378185,-781013.4759733146,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-290519.3273194985,-290519.32731949846,-83132.72518344273,-459148.0627147442,BCC_A2#1;CORUNDUM#1,CORUNDUM#1,-282426.8314253759,-282411.0486829672,-108644.3401601044,-514012.5839423008,HALITE#1;IONIC_LIQ#1,HALITE#1
1750,1476.85,-154508.99363008238,-154508.99363008238,-105846.8418745748,-92104.22793748043,IONIC_LIQ#2,NOT_FOUND,-168120.7796188183,-168120.7796188183,-105846.8418745748,-49227.068381408986,GAS#1;IONIC_LIQ#2,NOT_FOUND,-388511.53954941645,-388511.5395494164,-105259.77124359383,-743129.7371618816,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-362279.9521842688,-362279.9521842688,-143582.30869647855,-750392.8249994036,HALITE#1,HALITE#1,-361908.5885372855,-361752.46113195975,-74071.273773491,-600092.1254936508,CRISTOBALITE#1;GAS#1,CRISTOBALITE#1,-380823.9137858227,-380636.3723868643,-103375.36285396927,-627534.0121587842,GAS#1;RUTILE#1,RUTILE#1,-230601.45882133485,-230601.45882133485,-102672.74434357577,-305497.98025347316,BCC_A2#1;IONIC_LIQ#2,NOT_FOUND,-391569.9255678399,-391569.9255678399,-129480.60331465387,-895756.1292973371,HALITE#1,HALITE#1,-434002.246074638,-433774.02501171234,-118362.75636393072,-772081.6155152688,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-293475.96182557713,-293475.9618255771,-86966.64794296323,-450735.30914992467,BCC_A2#1;CORUNDUM#1,CORUNDUM#1,-286179.29306473915,-286159.50574978214,-113979.82362542427,-505195.15866339335,HALITE#1;IONIC_LIQ#1,HALITE#1
1800,1526.85,-159013.88584025783,-159013.88584025783,-110460.5952933756,-87468.85336479236,IONIC_LIQ#2,NOT_FOUND,-173042.99215410656,-173042.99215410656,-110460.5952933756,-46478.69752642285,GAS#1;IONIC_LIQ#2,NOT_FOUND,-391060.1072913087,-391060.10729130864,-109852.90083934923,-732291.0760153113,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-365091.53992543777,-365091.53992543777,-152631.59893532688,-730330.8813278452,HALITE#1,HALITE#1,-364560.11111345515,-364407.9370427133,-78718.91376444692,-590189.3390726664,CRISTOBALITE#1;GAS#1,CRISTOBALITE#1,-383762.579276284,-383573.97128719074,-107748.60938032187,-618767.0479452782,GAS#1;RUTILE#1,RUTILE#1,-235131.73507220723,-235131.73507220723,-107239.01121047547,-301276.8373646258,BCC_A2#1;IONIC_LIQ#2,NOT_FOUND,-394797.26361774764,-394797.26361774764,-137819.49040708842,-878777.9931535616,HALITE#1,HALITE#1,-437021.9461812987,-436797.31027539156,-123125.62410323415,-763168.1339374098,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-296471.243515468,-296471.24351546797,-90868.18684874533,-442307.8154166474,BCC_A2#1;CORUNDUM#1,CORUNDUM#1,-289975.6807215812,-289951.20553434297,-119383.88273180665,-496362.8769194594,HALITE#1;IONIC_LIQ#1,HALITE#1
1850,1576.85,-163552.69647688084,-163552.69647688084,-115117.93456500792,-82810.41231628286,IONIC_LIQ#2,NOT_FOUND,-178003.83576506132,-178003.83576506132,-115117.93456500792,-43745.44564525888,GAS#1;IONIC_LIQ#2,NOT_FOUND,-393646.21565554355,-393646.21565554355,-114490.12972477375,-721466.5176004764,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-367941.1560635015,-367941.1560635015,-161709.77601452154,-710311.0439399924,HALITE#1,HALITE#1,-367246.0224779124,-367097.7934699223,-83404.34526896074,-580299.693879806,CRISTOBALITE#1;GAS#1,CRISTOBALITE#1,-386738.70168192097,-386547.65707628505,-112171.39429753768,-610010.6824632547,GAS#1;RUTILE#1,RUTILE#1,-239720.98237785016,-239720.98237785016,-112166.6220665551,-296516.6570933199,IONIC_LIQ#1;IONIC_LIQ#2,NOT_FOUND,-398063.46667857224,-398063.46667857224,-147439.95282554606,-859339.9327782263,HALITE#1,HALITE#1,-440079.84685842163,-439858.78402571665,-127933.40386466189,-754272.1084256325,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-299504.2435285975,-299504.2435285975,-94837.39207385547,-433863.5940452138,BCC_A2#1;CORUNDUM#1,CORUNDUM#1,-293815.16391519114,-293785.2636630585,-124854.61215770573,-487517.4030603826,HALITE#1;IONIC_LIQ#1,HALITE#1
1900,1626.85,-168124.74842101574,-168124.74842101574,-119817.68141994256,-78130.60871869046,IONIC_LIQ#2,NOT_FOUND,-183002.90715136583,-183002.90715136583,-119817.68141994256,-41029.109637944435,GAS#1;IONIC_LIQ#2,NOT_FOUND,-396268.95454142214,-396268.95454142214,-119170.2657502225,-710655.6713434767,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-370827.9426115805,-370827.9426115805,-170816.05750290258,-690332.499312883,HALITE#1,HALITE#1,-369965.5175170875,-369821.2255785757,-88126.53288475158,-570422.8635388772,CRISTOBALITE#1;GAS#1,CRISTOBALITE#1,-389751.7438740593,-389556.6308508982,-116643.37561035268,-601264.6998841914,GAS#1;RUTILE#1,RUTILE#1,-244362.76057603606,-244362.76057603606,-117235.5471401958,-291632.7918961189,IONIC_LIQ#1;IONIC_LIQ#2,NOT_FOUND,-401367.5769380724,-401367.5769380724,-157088.66609574275,-839945.8194331704,HALITE#1,HALITE#1,-443175.09603482846,-442957.5945168468,-132785.55992873726,-745392.5720481141,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-302574.0822360432,-302574.0822360432,-98874.37044248894,-425400.6240691915,BCC_A2#1;CORUNDUM#1,CORUNDUM#1,-297696.95976742543,-297660.84722024633,-130390.20961055232,-478660.2637209634,HALITE#1;IONIC_LIQ#1,HALITE#1
1950,1676.85,-172729.4310455945,-172729.4310455945,-124558.71962433949,-73431.16542687989,IONIC_LIQ#2,NOT_FOUND,-188039.97213408485,-188039.97213408485,-124558.71962433949,-38331.9069383312,GAS#1;IONIC_LIQ#2,NOT_FOUND,-398927.4583737244,-398927.4583737244,-123892.17952925806,-699858.0795240747,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-373751.089218436,-373751.089218436,-179949.70460234862,-670394.4053197175,HALITE#1,HALITE#1,-372717.8370927477,-372577.4745292704,-92884.50909116978,-560558.459837744,CRISTOBALITE#1;GAS#1,CRISTOBALITE#1,-392801.26486104704,-392600.1687537087,-121229.10895868856,-592464.1432751233,GAS#1;RUTILE#1,RUTILE#1,-249055.50460526353,-249055.50460526353,-122365.00321711789,-286781.4696374892,IONIC_LIQ#1;IONIC_LIQ#2,NOT_FOUND,-404708.686221923,-404708.686221923,-166764.905457446,-820594.3916234707,HALITE#1,HALITE#1,-446306.88602782117,-446092.9344129679,-137681.61844763096,-736528.4972865034,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-305679.92536960833,-305679.9253696083,-102979.28100989347,-416916.83420284046,CORUNDUM#1;SPINEL#1,CORUNDUM#1,-301620.3282202985,-301577.17066691414,-135988.9676889802,-469792.8351539045,HALITE#1;IONIC_LIQ#1,HALITE#1
2000,1726.85,-177366.20064009112,-177366.20064009112,-129339.99020590965,-68713.8329403646,IONIC_LIQ#2,NOT_FOUND,-193115.03184371392,-193115.03184371392,-129339.99020590965,-35656.736886492814,GAS#1;IONIC_LIQ#2,NOT_FOUND,-401620.90350161865,-401620.9035016186,-128654.79970286888,-689073.2019916932,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-376709.8309362943,-376709.8309362943,-189110.01618457586,-650495.8812994818,HALITE#1,HALITE#1,-375371.5574566849,-375371.5574566849,-97677.3560151476,-550313.9062783635,GAS#1;IONIC_LIQ#2,NOT_FOUND,-395886.91545973765,-395677.6212768167,-126170.21657628226,-583367.1197263872,GAS#1;RUTILE#1,RUTILE#1,-253797.88055282374,-253797.88055282374,-127553.43787179349,-281961.2363911645,IONIC_LIQ#1;IONIC_LIQ#2,NOT_FOUND,-408085.9322518235,-408085.9322518235,-176467.99781152388,-801284.3233077027,HALITE#1,HALITE#1,-449474.45025436906,-449264.0375091534,-142621.1635709481,-727678.7771156154,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-308820.98054604494,-308820.98054604494,-107152.33108917209,-408410.0836247101,CORUNDUM#1;IONIC_LIQ#2,CORUNDUM#1,-305584.56775046967,-305533.49214543967,-141649.26658017552,-460916.3277649841,HALITE#1;IONIC_LIQ#1,HALITE#1
