T_K,T_C,GM_Cu2O,GM_system_Cu2O,G_metal_Cu2O,dG_Cu2O_per_O2,phases_Cu2O,oxide_phase_Cu2O,GM_CuO,GM_system_CuO,G_metal_CuO,dG_CuO_per_O2,phases_CuO,oxide_phase_CuO,GM_Al2O3,GM_system_Al2O3,G_metal_Al2O3,dG_Al2O3_per_O2,phases_Al2O3,oxide_phase_Al2O3,GM_MgO,GM_system_MgO,G_metal_MgO,dG_MgO_per_O2,phases_MgO,oxide_phase_MgO,GM_SiO2,GM_system_SiO2,G_metal_SiO2,dG_SiO2_per_O2,phases_SiO2,oxide_phase_SiO2,GM_TiO2,GM_system_TiO2,G_metal_TiO2,dG_TiO2_per_O2,phases_TiO2,oxide_phase_TiO2,GM_FeO,GM_system_FeO,G_metal_FeO,dG_FeO_per_O2,phases_FeO,oxide_phase_FeO,GM_CaO,GM_system_CaO,G_metal_CaO,dG_CaO_per_O2,phases_CaO,oxide_phase_CaO,GM_ZrO2,GM_system_ZrO2,G_metal_ZrO2,dG_ZrO2_per_O2,phases_ZrO2,oxide_phase_ZrO2,GM_Cr2O3,GM_system_Cr2O3,G_metal_Cr2O3,dG_Cr2O3_per_O2,phases_Cr2O3,oxide_phase_Cr2O3,GM_MnO,GM_system_MnO,G_metal_MnO,dG_MnO_per_O2,phases_MnO,oxide_phase_MnO,GM_NiO,GM_system_NiO,G_metal_NiO,dG_NiO_per_O2,phases_NiO,oxide_phase_NiO,GM_CoO,GM_system_CoO,G_metal_CoO,dG_CoO_per_O2,phases_CoO,oxide_phase_CoO,GM_PbO,GM_system_PbO,G_metal_PbO,dG_PbO_per_O2,phases_PbO,oxide_phase_PbO,GM_B2O3,GM_system_B2O3,G_metal_B2O3,dG_B2O3_per_O2,phases_B2O3,oxide_phase_B2O3,GM_V2O5,GM_system_V2O5,G_metal_V2O5,dG_V2O5_per_O2,phases_V2O5,oxide_phase_V2O5,GM_La2O3,GM_system_La2O3,G_metal_La2O3,dG_La2O3_per_O2,phases_La2O3,oxide_phase_La2O3,GM_CeO2,GM_system_CeO2,G_metal_CeO2,dG_CeO2_per_O2,phases_CeO2,oxide_phase_CeO2
900,626.85,-93621.57421401794,-93567.90556544831,-39969.02623895592,-205254.87568636888,CUPRITE#1;FCC_A1#1,CUPRITE#1,-106341.16200991615,-106341.16200991615,-39969.02623895592,-148828.13091983777,CUO#1,CUO#1,-352111.61462158855,-352111.6146215885,-35933.493262319695,-929195.593080287,CORUNDUM#1;FCC_A1#1,CORUNDUM#1,-321484.08006031066,-321484.08006031066,-39956.81681890714,-1009424.2219615133,HALITE#1,HALITE#1,-323378.1519266466,-323153.07300704083,-25837.981721923563,-747698.0094161012,GAS#1;QUARTZ#1,QUARTZ#1,-337655.3923921176,-337416.03607423656,-38469.48402475,-777898.2285096878,GAS#1;RUTILE#1,RUTILE#1,-173243.81522527264,-169780.92511906938,-35866.058326264036,-424644.67960664746,BCC_A2#1;HALITE#1,HALITE#1,-343942.04919380625,-343942.04919380625,-48738.20233306001,-1081693.32746719,HALITE#1,HALITE#1,-390282.88675126707,-389990.9030968367,-46235.72743106449,-928014.4681808216,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-249513.89971032398,-249513.899710324,-31279.017577877486,-593409.1776219949,CORUNDUM#1,CORUNDUM#1,-229335.33760915016,-229335.3239901583,-40588.70575658772,-639565.4742815101,CBCC_A12#1;HALITE#1,HALITE#1,-147195.366524622,-147195.36602706122,-38351.65098765913,-315479.6994812547,FCC_A1#1;HALITE#1,HALITE#1,-153073.2852417081,-153073.25198015507,-38026.598400749746,-339641.4795234179,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-246618.0225207327,-246618.02252073272,-38067.09299520421,-463478.3240199733,V2O5#1,V2O5#1,-390555.0912492186,-390555.0912492186,-62352.246488272904,-1022115.5108711164,M2O3A#1,NOT_FOUND,,,,,,
950,676.85,-96519.91572285461,-96466.49631276377,-43116.53145504323,-198016.70608123986,CUPRITE#1;FCC_A1#1,CUPRITE#1,-108815.8484205164,-108815.8484205164,-43116.53145504323,-140393.66833626427,CUO#1,CUO#1,-353816.9965679284,-353816.9965679284,-39104.94508739998,-918613.3993408466,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-323441.73196251167,-323441.73196251167,-43410.93403341452,-998308.3973475026,HALITE#1,HALITE#1,-325223.1259409835,-325002.22114626033,-28102.543821819592,-738930.171565416,GAS#1;QUARTZ#1,QUARTZ#1,-339763.76286781894,-339528.31681273127,-41614.51852533186,-769040.1076424101,GAS#1;RUTILE#1,RUTILE#1,-176134.93526066505,-172779.54097370425,-39018.54346625684,-417865.9916744317,BCC_A2#1;HALITE#1,HALITE#1,-346282.4426406259,-346282.4426406259,-52562.05637732697,-1071368.9953721347,HALITE#1,HALITE#1,-392385.2747046713,-392097.2077611844,-49819.329282575956,-918699.8323957231,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-251659.45640693154,-251659.45640693154,-33961.5172194564,-584946.1692947818,CORUNDUM#1,CORUNDUM#1,-232203.3117795618,-232203.2816024577,-43952.89998324175,-632270.7847160489,CBCC_A12#1;HALITE#1,HALITE#1,-149659.71603080022,-149659.71446790392,-41552.42819676471,-306897.3452939566,FCC_A1#1;HALITE#1,HALITE#1,-155925.70015047345,-155925.62763341962,-41199.826748674954,-332666.484668829,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-248798.56097926834,-248798.56097926837,-41123.93211745882,-455100.1626122695,V2O5#1,V2O5#1,-393207.52942895837,-393207.52942895837,-66831.2934310081,-1012946.7110861356,M2O3A#1,NOT_FOUND,,,,,,
1000,726.85,-99488.94452446273,-99435.77829348028,-46338.66341131481,-190812.97236031198,CUPRITE#1;FCC_A1#1,CUPRITE#1,-111362.61245563503,-111362.61245563503,-46338.66341131481,-132007.08185870535,CUO#1,CUO#1,-355587.5467489673,-355587.5467489673,-42746.623249568,-907530.2836892618,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-325465.8733515209,-325465.8733515209,-47165.92896334898,-986765.5943381806,HALITE#1,HALITE#1,-327128.16382389684,-326911.41868064355,-30435.798046339034,-730182.6522841464,GAS#1;QUARTZ#1,QUARTZ#1,-341937.5760535671,-341706.019675081,-44844.768291704066,-760201.9187277922,GAS#1;RUTILE#1,RUTILE#1,-179139.44898747155,-175854.72985490403,-42300.0792986771,-411191.5962113269,BCC_A2#1;HALITE#1,HALITE#1,-348692.7813323529,-348692.7813323529,-56486.44670547037,-1061032.1907772657,HALITE#1,HALITE#1,-394553.4903151293,-394269.31984538486,-53488.22527765788,-909406.2045265249,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-253871.93610561956,-253871.93610561953,-36725.623483121795,-576506.2479000309,CORUNDUM#1,CORUNDUM#1,-235141.9590613161,-235141.8973427695,-47460.84353956471,-624880.1080249299,CUB_A13#1;HALITE#1,HALITE#1,-152198.31973548784,-152198.31537264693,-44836.689413522625,-298353.8589737009,FCC_A1#1;HALITE#1,HALITE#1,-158853.26428043304,-158853.11798541248,-44467.2030037193,-325712.6099730885,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-251501.5492771345,-251501.5492771345,-44258.3349399944,-448031.628882776,GAS#1;IONIC_LIQ#2,NOT_FOUND,-395929.8479419807,-395929.8479419807,-71395.43276369716,-1003806.2083138007,M2O3A#1,NOT_FOUND,,,,,,
1050,776.85,-102525.85479379077,-102472.9452682677,-49632.20212835616,-183643.66939822465,CUPRITE#1;FCC_A1#1,CUPRITE#1,-113978.38710915526,-113978.38710915526,-49632.20212835616,-123666.49332881338,CUO#1;CUPRITE#1,CUO#1,-357420.51426351146,-357420.5142635114,-46467.7059318149,-896462.1221181895,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-327553.575333839,-327553.575333839,-51006.72730870359,-975218.1958668535,HALITE#1,HALITE#1,-329090.6730855782,-328878.07373791805,-32834.88666183732,-721454.4817438019,GAS#1;QUARTZ#1,QUARTZ#1,-344173.8066850176,-343946.11931950465,-48157.17667097047,-751381.5925329869,GAS#1;RUTILE#1,RUTILE#1,-182243.80163855705,-179003.55944760685,-45717.27641453943,-404558.002874054,BCC_A2#1;HALITE#1,HALITE#1,-351169.84466371377,-351169.84466371377,-60510.10912145372,-1050676.5095608523,HALITE#1,HALITE#1,-396784.6764534251,-396504.3831023972,-57239.261369522595,-900132.1171396573,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-256147.47229330512,-256147.4722933051,-39569.01554615141,-568083.5693983864,CORUNDUM#1,CORUNDUM#1,-238148.29445366372,-238148.1765194606,-51129.496976633534,-617351.5330102924,CUB_A13#1;HALITE#1,HALITE#1,-154807.03501956834,-154807.0240100257,-48201.26423137146,-289842.9607644351,FCC_A1#1;HALITE#1,HALITE#1,-161852.9415090652,-161852.66536140357,-47827.181521037826,-318774.7521430898,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-254308.4092158693,-254308.4092158693,-47467.3991630366,-441106.9756229094,GAS#1;IONIC_LIQ#2,NOT_FOUND,-398719.06931009947,-398719.06931009947,-76042.18908822171,-994691.3280649406,M2O3A#1,NOT_FOUND,,,,,,
1100,826.85,-105628.09924112177,-105575.44957756286,-52994.23058128006,-176508.80043592863,CUPRITE#1;FCC_A1#1,CUPRITE#1,-116660.38373381752,-116660.38373381752,-52994.23058128006,-115370.2010870282,CUO#1;CUPRITE#1,CUO#1,-359313.3758921202,-359313.3758921201,-50264.410963661445,-885409.1656698368,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-329702.1680115599,-329702.1680115599,-54929.24020485748,-963667.3189508428,HALITE#1,HALITE#1,-331108.31073111045,-330899.8438567221,-35297.21203144413,-712744.8474762056,GAS#1;QUARTZ#1,QUARTZ#1,-346469.6885496902,-346245.848313316,-51548.98188080809,-742577.2110825807,GAS#1;RUTILE#1,RUTILE#1,-185435.67866606382,-182223.03703812978,-49259.957011055216,-397939.9279564631,BCC_A2#1;HALITE#1,HALITE#1,-353710.70220683527,-353710.70220683527,-64631.93774113848,-1040296.0606593823,HALITE#1,HALITE#1,-399076.23197733617,-398799.7971817017,-61069.581727208904,-890876.241519118,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-258483.73512851563,-258483.7351285156,-42489.69033972034,-559676.6572897432,CORUNDUM#1,CORUNDUM#1,-241219.61531578022,-241219.4032630415,-54886.26646348736,-609823.0556504645,CUB_A13#1;HALITE#1,HALITE#1,-157483.09200826127,-157483.06654285762,-51643.320448769904,-281362.85444982356,FCC_A1#1;HALITE#1,HALITE#1,-164921.99286191832,-164921.5006739204,-51278.70049193068,-311847.69777813024,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-257185.41102475318,-257185.41102475318,-50748.5478485909,-434237.4399047546,GAS#1;IONIC_LIQ#2,NOT_FOUND,-401572.49606726563,-401572.49606726563,-80769.36103332821,-985599.6328274326,M2O3A#1,NOT_FOUND,,,,,,
1150,876.85,-108793.35533538721,-108740.96836348482,-56422.09952457435,-169408.35929995342,CUPRITE#1;FCC_A1#1,CUPRITE#1,-119406.05642078488,-119406.05642078488,-56422.09952457435,-107116.6520199184,CUO#1,CUO#1,-361263.81021058536,-361263.8102105853,-54133.300970224394,-874371.5914609128,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-331909.2082852747,-331909.2082852747,-58929.75100431095,-952113.9565184045,HALITE#1,HALITE#1,-333183.4652930749,-332979.11351508886,-37820.404015257474,-704066.6172498948,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-348822.6850843701,-348602.6669042429,-55017.67726497125,-733787.0033740666,GAS#1;RUTILE#1,RUTILE#1,-188704.45146750542,-185510.19241166048,-52906.818679875185,-391340.793896199,BCC_A2#1;HALITE#1,HALITE#1,-356312.6769574793,-356312.6769574793,-69118.74457219041,-1029349.844071464,HALITE#1,HALITE#1,-401425.779567487,-401153.18547522655,-65014.94909825647,-881599.0149901322,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-260878.23118279097,-260878.23118279094,-45485.92101555503,-551282.8346411574,CORUNDUM#1,CORUNDUM#1,-244353.46579599145,-244353.10413342633,-58728.496315529264,-602293.4959388349,CUB_A13#1;HALITE#1,HALITE#1,-160223.70928780848,-160223.65467584514,-55160.24924278046,-272910.96405160066,FCC_A1#1;HALITE#1,HALITE#1,-168057.94090786384,-168057.10632456152,-54821.189770359204,-304926.0094766646,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-260131.7851566647,-260131.7851566647,-54099.484987950236,-427426.0358342286,GAS#1;IONIC_LIQ#2,NOT_FOUND,-404487.6729224255,-404487.6729224255,-85614.80618040696,-976475.7935534698,M2O3A#1,NOT_FOUND,,,,,,
1200,926.85,-112019.49709991965,-111967.37536672172,-59913.400421959326,-162342.30176893348,CUPRITE#1;FCC_A1#1,CUPRITE#1,-122213.0720968493,-122213.0720968493,-59913.400421959326,-98904.4084007314,CUO#1;CUPRITE#1,CUO#1,-363269.67515184206,-363269.67515184206,-58071.2384259225,-863349.5201288296,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-334172.45261943823,-334172.45261943823,-63004.86672961627,-940558.9978757731,HALITE#1,HALITE#1,-335337.34198574413,-335137.0651833297,-40402.29417877868,-695488.6526357066,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-351230.46476565197,-351014.2372906241,-58718.07358322907,-724852.2415709796,GAS#1;RUTILE#1,RUTILE#1,-192046.06485305942,-188862.82040217752,-56659.20669115739,-384744.7668871757,FCC_A1#1;HALITE#1,HALITE#1,-358973.3143983823,-358973.3143983823,-73793.41468942417,-1018185.3490719337,HALITE#1,HALITE#1,-403831.1385969569,-403562.36799793126,-69166.65253182653,-872205.6841162969,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-263328.68094146927,-263328.68094146927,-48556.22277367732,-542899.5602972473,CORUNDUM#1,CORUNDUM#1,-247547.606791317,-247547.01779464431,-62653.75884685373,-594761.8303288133,CUB_A13#1;HALITE#1,HALITE#1,-163026.38860389503,-163026.27897628624,-58749.75731133906,-264484.9606501548,FCC_A1#1;HALITE#1,HALITE#1,-171258.5404854481,-171257.18564601388,-58454.606373592964,-298003.87005185924,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-263147.44944947294,-263147.44944947294,-57518.15880934445,-420677.2522683015,GAS#1;IONIC_LIQ#2,NOT_FOUND,-407462.3551471945,-407462.3551471945,-90680.1147854779,-967179.9516339304,M2O3A#1,NOT_FOUND,,,,,,
1250,976.85,-115304.57139078561,-115252.71720819811,-63465.94505805945,-155310.51052514522,CUPRITE#1;FCC_A1#1,CUPRITE#1,-125079.28526048557,-125079.28526048557,-63465.94505805945,-90732.11333849275,CUO#1,CUO#1,-365328.98854598653,-365328.98854598653,-62075.348202876674,-852343.0266287889,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-336489.8338863648,-336489.8338863648,-67151.47766076926,-929003.2426365901,HALITE#1,HALITE#1,-337539.8734724875,-337343.66016780876,-43040.88180206763,-686925.6010280641,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-353690.880655519,-353478.4016706388,-62499.111662220756,-715920.3927170057,GAS#1;RUTILE#1,RUTILE#1,-195456.882614331,-192278.86648581416,-60516.644603313944,-378141.1036633655,FCC_A1#1;HALITE#1,HALITE#1,-361690.3563031758,-361690.3563031758,-78541.01928872855,-1007026.2490479153,HALITE#1,HALITE#1,-406290.3021178245,-406025.33838450036,-73376.81077475562,-862840.9579913871,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-265832.9922788231,-265832.9922788231,-51699.32428473075,-534524.4042957721,CORUNDUM#1,CORUNDUM#1,-250799.99068048171,-250799.06959288145,-66659.82633014143,-587227.1724743134,CUB_A13#1;HALITE#1,HALITE#1,-165888.88061808865,-165888.6729745443,-62409.76736024304,-256082.8501645379,FCC_A1#1;HALITE#1,HALITE#1,-174521.7543581418,-174519.63753638617,-62179.5053999581,-291074.8690453203,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-266232.931827453,-266232.931827453,-61002.7312106521,-413996.8865610162,GAS#1;IONIC_LIQ#2,NOT_FOUND,-410494.48202372284,-410494.48202372284,-96042.61624035635,-957604.9808379371,M2O3A#1,NOT_FOUND,,,,,,
1300,1026.85,-118646.7778106093,-118595.19330805141,-67077.64455849766,-148313.1812296649,CUPRITE#1;FCC_A1#1,CUPRITE#1,-128002.71650714493,-128002.71650714493,-67077.64455849766,-82598.6695115841,CUO#1;CUPRITE#1,CUO#1,-367439.911215337,-367439.91121533694,-66142.98610991462,-841352.1485045702,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-338859.4415774656,-338859.4415774656,-71366.72343410474,-917447.4120416528,HALITE#1,HALITE#1,-339789.2241569879,-339597.06338653085,-45734.32583996691,-678376.4392309966,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-356201.95355678524,-355993.16351186193,-66339.81389398496,-707009.1393763704,GAS#1;RUTILE#1,RUTILE#1,-198928.7064754267,-195755.60696219362,-64443.1320981239,-371571.65430545877,FCC_A1#1;HALITE#1,HALITE#1,-364461.7184269234,-364461.7184269234,-83358.63944229213,-995872.687423109,HALITE#1,HALITE#1,-408801.4172329768,-408540.24426944385,-77643.58370875531,-853503.760590175,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-268389.2381453415,-268389.23814534146,-54914.1437205807,-526155.0281236973,CORUNDUM#1,CORUNDUM#1,-254108.7397778129,-254107.35007530754,-70744.64735621288,-579688.7569988256,CUB_A13#1;HALITE#1,HALITE#1,-168809.1575618093,-168808.78395382673,-66138.38143792393,-247702.95997138903,FCC_A1#1;HALITE#1,HALITE#1,-177845.7327633533,-177842.5352629801,-65997.15842812823,-284131.7067971565,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-269389.25804016937,-269389.25804016937,-64551.55208997272,-407391.77344049595,GAS#1;IONIC_LIQ#2,NOT_FOUND,-413582.15443214827,-413582.15443214827,-101473.75128462793,-948051.9389943233,M2O3A#1,NOT_FOUND,,,,,,
1350,1076.85,-122044.45159368294,-121993.25562562527,-70746.38367789735,-141351.24257623986,CUPRITE#1;IONIC_LIQ#1,CUPRITE#1,-130981.53417032467,-130981.53417032467,-70746.38367789735,-74503.43705123552,CUO#1,CUO#1,-369600.7322551294,-369600.7322551293,-70271.71226669951,-830376.8922205633,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-341279.5048079131,-341279.5048079131,-75647.96440442085,-905892.1581485423,HALITE#1,HALITE#1,-342083.71653436724,-341895.59778396995,-48480.92371558783,-669840.2936132455,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-358761.85829687957,-358556.6715787458,-70238.52109927742,-698117.1215170929,GAS#1;RUTILE#1,RUTILE#1,-202459.65242212234,-199291.2658137677,-68436.84068981453,-365034.99603459187,FCC_A1#1;HALITE#1,HALITE#1,-367285.47140238935,-367285.47140238935,-88243.58092826568,-984724.7914787575,HALITE#1,HALITE#1,-411362.7682669949,-411105.3704648651,-81965.30579251358,-844193.0667342027,GAS#1;ZRO2_MONO#1,ZRO2_MONO#1,-270995.6376617576,-270995.6376617576,-58199.76856128148,-517789.1685165482,CORUNDUM#1,CORUNDUM#1,-257472.12777280156,-257470.09670689664,-74906.326766095,-572145.9252847477,CUB_A13#1;HALITE#1,HALITE#1,-171785.39125967489,-171784.74900449088,-69933.85711285665,-239343.91853871784,FCC_A1#1;HALITE#1,HALITE#1,-181228.79611219367,-181224.10865943643,-69909.73731308027,-277165.7775483457,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-272617.8055948261,-272617.8055948261,-68163.13763061832,-400869.41328675015,GAS#1;IONIC_LIQ#2,NOT_FOUND,-416723.61584342923,-416723.61584342923,-106970.87888462086,-938520.9486910009,GAS#1;M2O3A#1,NOT_FOUND,,,,,,
1400,1126.85,-125496.0489371727,-125445.73353066755,-74885.75572616636,-132763.34593396063,CUPRITE#1;IONIC_LIQ#1,CUPRITE#1,-134802.32683939885,-134802.32683939885,-74885.75572616636,-68767.87112085253,GAS#1;IONIC_LIQ#2,NOT_FOUND,-371809.8561825496,-371809.85618254956,-74459.26841550964,-819417.2379367423,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-343748.3776503073,-343748.3776503073,-81122.31725360434,-892078.9513096105,HALITE#1,HALITE#1,-344421.8214738827,-344237.734614801,-51279.0967477325,-661316.4428895054,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-361368.9126997359,-361167.20635092835,-74193.783290499,-689243.0300242985,GAS#1;RUTILE#1,RUTILE#1,-206047.99353215657,-202884.1988123484,-72496.07996359194,-358529.88941703225,FCC_A1#1;HALITE#1,HALITE#1,-370159.82429609314,-370159.82429609314,-93193.34923933796,-973582.6739212865,HALITE#1,HALITE#1,-414016.76300642756,-413763.0812058128,-86340.46799984839,-835039.8962350242,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-273650.5399929473,-273650.5399929473,-61555.438514341215,-509424.62383962586,CORUNDUM#1,CORUNDUM#1,-260888.56887880995,-260885.67921556995,-79206.94737348273,-564470.4559838641,FCC_A1#1;HALITE#1,HALITE#1,-174815.93533043674,-174814.87527726294,-73794.58801951267,-231004.6404983115,FCC_A1#1;HALITE#1,HALITE#1,-184669.4203035969,-184662.72912499227,-73920.5050163432,-270166.7463972911,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-275920.1309544557,-275920.1309544557,-71836.15180711495,-394437.52044237393,GAS#1;IONIC_LIQ#2,NOT_FOUND,-419917.23612756433,-419917.23612756433,-112531.55377793517,-929012.1239368905,GAS#1;M2O3A#1,NOT_FOUND,,,,,,
1450,1176.85,-129000.13435982034,-128950.77546897258,-79154.90829742474,-123906.42159818352,CUPRITE#1;IONIC_LIQ#1,CUPRITE#1,-139434.53273113212,-139434.53273113212,-79154.90829742474,-65953.56295863946,GAS#1;IONIC_LIQ#2,NOT_FOUND,-374065.7916840226,-374065.7916840226,-78703.55846647956,-808473.1429537297,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-346264.52641987795,-346264.52641987795,-89943.1703135204,-871697.0136814315,HALITE#1,HALITE#1,-346802.14855936955,-346622.0837864958,-54127.37759919864,-652804.3167078705,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-364021.5688321735,-363823.16851828055,-78204.33192625758,-680385.6231992233,GAS#1;RUTILE#1,RUTILE#1,-209692.13888275603,-206532.87938600907,-76619.28298215418,-352055.23819567624,FCC_A1#1;HALITE#1,HALITE#1,-373083.1103838694,-373083.1103838694,-98205.6281655933,-962446.4338332515,HALITE#1,HALITE#1,-416740.58419075486,-416490.5809826899,-90767.70232681828,-825979.2988744066,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-276352.4105086122,-276352.41050861217,-64980.531010626786,-501059.2423101654,CORUNDUM#1,CORUNDUM#1,-264356.5992485059,-264352.5853923703,-83651.54045808181,-556648.5647068204,BCC_A2#1;HALITE#1,HALITE#1,-177899.31060835405,-177897.62361421844,-77719.08774680634,-222684.315568764,FCC_A1#1;HALITE#1,HALITE#1,-188166.2197701325,-188156.89550554633,-78017.65568526318,-263154.81633896416,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-279297.78278756834,-279297.78278756834,-75569.39053622737,-388103.52800516994,GAS#1;IONIC_LIQ#2,NOT_FOUND,-423161.4976999965,-423161.4976999965,-118153.5054791103,-919525.5669901352,M2O3A#1,NOT_FOUND,,,,,,
1500,1226.85,-132521.8234044746,-132521.8234044746,-83478.17103307633,-114875.83674730762,IONIC_LIQ#2,NOT_FOUND,-144110.8281051108,-144110.8281051108,-83478.17103307633,-63144.5508070559,GAS#1;IONIC_LIQ#2,NOT_FOUND,-376367.14233715384,-376367.14233715384,-83002.63171842566,-797544.545952044,CORUNDUM#1;IONIC_LIQ#1,CORUNDUM#1,-348826.518603023,-348826.518603023,-98799.90097746433,-851363.8529099287,HALITE#1,HALITE#1,-349223.4367393284,-349047.3845123626,-57024.39941296318,-644303.4912577874,GAS#1;TRIDYMITE#1,TRIDYMITE#1,-366718.406130218,-366523.0692936114,-82269.05686710356,-671543.7419763159,GAS#1;RUTILE#1,RUTILE#1,-213390.61656815495,-210235.88643806957,-80804.99365686871,-345610.0594116478,FCC_A1#1;HALITE#1,HALITE#1,-376053.7747887706,-376053.7747887706,-103278.26133459287,-951316.156938662,HALITE#1,HALITE#1,-419510.18224520306,-419263.8432727313,-95245.7684270924,-816942.3587612822,GAS#1;ZRO2_TETR#1,ZRO2_TETR#1,-279099.8188391876,-279099.8188391876,-68474.54884103517,-492690.91146201064,CORUNDUM#1,CORUNDUM#1,-267874.8588522365,-267869.4082218429,-88188.96878991727,-548779.0782818766,BCC_A2#1;HALITE#1,HALITE#1,-181034.1930025005,-181031.59490771883,-81705.97633327845,-214382.39979621052,FCC_A1#1;HALITE#1,HALITE#1,-191717.93505390864,-191705.22251680304,-82186.56359922924,-256156.19346994144,FCC_A1#1;HALITE#1,HALITE#1,,,,,,,,,,,Error: Thermo-Calc calculation error: se.thermocalc.core.CalculationEngineException:  ERROR IN QTHISS : TOO MANY ITERATIONS,,-282752.11839463766,-282752.11839463766,-79361.76801637418,-381874.09754465154,GAS#1;IONIC_LIQ#2,NOT_FOUND,-426454.98361804744,-426454.98361804744,-123834.62018414673,-910061.3656007277,GAS#1;M2O3A#1,NOT_FOUND,,,,,,
